lambda,beta_sca
3.6e-07,6.038467478562391e-05
3.7205128205128207e-07,5.881478150151676e-05
3.841025641025641e-07,5.7333831693624806e-05
3.9615384615384616e-07,5.5934225749485955e-05
4.0820512820512823e-07,5.460921921432488e-05
4.2025641025641025e-07,5.335280473428635e-05
4.323076923076923e-07,5.215961314282221e-05
4.4435897435897434e-07,5.10248301498735e-05
4.564102564102564e-07,4.9944125824657776e-05
4.684615384615385e-07,4.891359462807077e-05
4.805128205128204e-07,4.792970419083951e-05
4.925641025641025e-07,4.698925137868815e-05
5.046153846153846e-07,4.6089324458187936e-05
5.166666666666667e-07,4.522727039332204e-05
5.287179487179487e-07,4.440066647565359e-05
5.407692307692308e-07,4.360729562986548e-05
5.528205128205129e-07,4.284512484861686e-05
5.648717948717948e-07,4.211228630173131e-05
5.769230769230769e-07,4.140706073902416e-05
5.88974358974359e-07,4.072786286696343e-05
6.01025641025641e-07,4.007322842947995e-05
6.13076923076923e-07,3.9441802764675417e-05
6.251282051282051e-07,3.883233064356795e-05
6.371794871794872e-07,3.824364722566901e-05
6.492307692307692e-07,3.767466999015178e-05
6.612820512820513e-07,3.712439152148538e-05
6.733333333333334e-07,3.659187304534997e-05
6.853846153846155e-07,3.607623862496322e-05
6.974358974358974e-07,3.5576669940081756e-05
7.094871794871795e-07,3.5092401581259296e-05
7.215384615384616e-07,3.462271680074112e-05
7.335897435897435e-07,3.4166943668898175e-05
7.456410256410256e-07,3.3724451591557095e-05
7.576923076923077e-07,3.329464814912956e-05
7.697435897435897e-07,3.287697622322648e-05
7.817948717948718e-07,3.247091138057504e-05
7.938461538461539e-07,3.207595948763618e-05
8.05897435897436e-07,3.1691654532427205e-05
8.179487179487179e-07,3.13175566327592e-05
8.3e-07,3.0953250212456284e-05
