lambda,beta_sca
3.6e-07,1.910793857609986e-05
3.935714285714286e-07,1.927890582081123e-05
4.271428571428571e-07,2.0297376538766935e-05
4.607142857142857e-07,2.2051982961625997e-05
4.942857142857143e-07,2.3411035035542643e-05
5.278571428571428e-07,2.4115593210652595e-05
5.614285714285714e-07,2.628241085382635e-05
5.95e-07,2.761711898480976e-05
6.285714285714286e-07,2.8628087297698033e-05
6.621428571428571e-07,2.9903841587933475e-05
6.957142857142857e-07,3.05731661976719e-05
7.292857142857143e-07,3.068517944101111e-05
7.628571428571428e-07,3.116008258155298e-05
7.964285714285715e-07,3.1331067649689814e-05
8.3e-07,3.100567367981398e-05
