lambda,beta_sca,beta_abs
360.0,4e-06,4.4444444444444433e-07
370.0,4e-06,4.4444444444444433e-07
380.0,4e-06,4.4444444444444433e-07
390.0,4e-06,4.4444444444444433e-07
400.0,4e-06,4.4444444444444433e-07
410.0,4e-06,4.4444444444444433e-07
420.0,4e-06,4.4444444444444433e-07
430.0,4e-06,4.4444444444444433e-07
440.0,4e-06,4.4444444444444433e-07
450.0,4e-06,4.4444444444444433e-07
460.0,4e-06,4.4444444444444433e-07
470.0,4e-06,4.4444444444444433e-07
480.00000000000006,4e-06,4.4444444444444433e-07
490.00000000000006,4e-06,4.4444444444444433e-07
500.00000000000006,4e-06,4.4444444444444433e-07
509.99999999999994,4e-06,4.4444444444444433e-07
520.0,4e-06,4.4444444444444433e-07
530.0,4e-06,4.4444444444444433e-07
540.0,4e-06,4.4444444444444433e-07
550.0,4e-06,4.4444444444444433e-07
560.0,4e-06,4.4444444444444433e-07
570.0,4e-06,4.4444444444444433e-07
580.0,4e-06,4.4444444444444433e-07
590.0,4e-06,4.4444444444444433e-07
600.0,4e-06,4.4444444444444433e-07
610.0,4e-06,4.4444444444444433e-07
620.0,4e-06,4.4444444444444433e-07
630.0,4e-06,4.4444444444444433e-07
640.0,4e-06,4.4444444444444433e-07
650.0,4e-06,4.4444444444444433e-07
660.0,4e-06,4.4444444444444433e-07
670.0,4e-06,4.4444444444444433e-07
680.0,4e-06,4.4444444444444433e-07
690.0,4e-06,4.4444444444444433e-07
700.0,4e-06,4.4444444444444433e-07
710.0,4e-06,4.4444444444444433e-07
720.0,4e-06,4.4444444444444433e-07
730.0,4e-06,4.4444444444444433e-07
740.0,4e-06,4.4444444444444433e-07
750.0,4e-06,4.4444444444444433e-07
760.0,4e-06,4.4444444444444433e-07
770.0,4e-06,4.4444444444444433e-07
780.0,4e-06,4.4444444444444433e-07
790.0,4e-06,4.4444444444444433e-07
800.0,4e-06,4.4444444444444433e-07
810.0,4e-06,4.4444444444444433e-07
820.0,4e-06,4.4444444444444433e-07
830.0,4e-06,4.4444444444444433e-07
