lambda,beta_sca
360.0,4e-06
370.0,4e-06
380.0,4e-06
390.0,4e-06
400.0,4e-06
410.0,4e-06
420.0,4e-06
430.0,4e-06
440.0,4e-06
450.0,4e-06
460.0,4e-06
470.0,4e-06
480.00000000000006,4e-06
490.00000000000006,4e-06
500.00000000000006,4e-06
509.99999999999994,4e-06
520.0,4e-06
530.0,4e-06
540.0,4e-06
550.0,4e-06
560.0,4e-06
570.0,4e-06
580.0,4e-06
590.0,4e-06
600.0,4e-06
610.0,4e-06
620.0,4e-06
630.0,4e-06
640.0,4e-06
650.0,4e-06
660.0,4e-06
670.0,4e-06
680.0,4e-06
690.0,4e-06
700.0,4e-06
710.0,4e-06
720.0,4e-06
730.0,4e-06
740.0,4e-06
750.0,4e-06
760.0,4e-06
770.0,4e-06
780.0,4e-06
790.0,4e-06
800.0,4e-06
810.0,4e-06
820.0,4e-06
830.0,4e-06
