lambda,beta_abs
360.0,6.34132e-09
370.0,1.1726068000000275e-09
380.0,1.5143931999999981e-09
390.0,3.566186399999989e-09
400.0,8.206097999999976e-09
410.0,1.4848361999999965e-08
420.0,2.9664479999999842e-08
430.0,4.541567399999983e-08
440.0,8.501667999999958e-08
450.0,1.2446183999999957e-07
460.0,1.9717205999999923e-07
470.0,2.646157599999993e-07
480.00000000000006,4.1659247999999836e-07
490.00000000000006,4.845198399999993e-07
500.00000000000006,7.953519999999968e-07
509.99999999999994,8.609147999999987e-07
520.0,1.1494985999999938e-06
530.0,1.480536999999993e-06
540.0,1.6611033999999963e-06
550.0,1.8808999999999954e-06
560.0,2.292548399999991e-06
570.0,2.5107327999999953e-06
580.0,2.3634852000000034e-06
590.0,2.5263173999999965e-06
600.0,2.6972105999999963e-06
610.0,2.3135070000000076e-06
620.0,2.0098760000000095e-06
630.0,1.727741000000009e-06
640.0,1.4305588000000093e-06
650.0,1.2027012000000073e-06
660.0,9.952648000000066e-07
670.0,7.915902000000063e-07
680.0,6.497166000000045e-07
690.0,5.063920200000045e-07
700.0,4.006317000000033e-07
710.0,3.528568400000015e-07
720.0,2.743427000000025e-07
730.0,2.2302100000000214e-07
740.0,2.272127199999998e-07
750.0,1.7395638000000225e-07
760.0,1.317167400000018e-07
770.0,1.505257399999992e-07
780.0,1.361771600000006e-07
790.0,8.727376000000207e-08
800.0,7.872910000000035e-08
810.0,1.1167171999999862e-07
820.0,7.432242000000159e-08
830.0,3.818227000000153e-08
