lambda,beta_sca
360.0,5.860157774448884e-05
370.0,5.251851233959485e-05
380.0,4.7204665597297924e-05
390.0,4.2546210430647424e-05
400.0,3.844849515815914e-05
410.0,3.483243898011452e-05
420.0,3.163167211864122e-05
430.0,2.879025354353395e-05
440.0,2.6260839531561467e-05
450.0,2.4003206244142635e-05
460.0,2.1983051894845506e-05
470.0,2.0171020934542108e-05
480.00000000000006,1.8541905458217174e-05
490.00000000000006,1.707398878207372e-05
500.00000000000006,1.5748503616781977e-05
509.99999999999994,1.4549183033126057e-05
520.0,1.346188689407204e-05
530.0,1.2474289920334059e-05
540.0,1.1575620295207675e-05
550.0,1.0756439872127575e-05
560.0,1.0008458756288821e-05
570.0,9.324378389589712e-06
580.0,8.697758352487145e-06
590.0,8.122902965826254e-06
600.0,7.594764475685754e-06
610.0,7.108860169988039e-06
620.0,6.661201234520346e-06
630.0,6.2482315296081435e-06
640.0,5.86677477388903e-06
650.0,5.513988871811906e-06
660.0,5.187326327222018e-06
670.0,4.884499855114135e-06
680.0,4.603452444075039e-06
690.0,4.342331238488002e-06
700.0,4.099464706575901e-06
710.0,3.873342641318666e-06
720.0,3.6625986090305523e-06
730.0,3.465994517226874e-06
740.0,3.282407021224678e-06
750.0,3.1108155292408863e-06
760.0,2.9502915998311202e-06
770.0,2.7999895543855625e-06
780.0,2.659138151915464e-06
790.0,2.5270331942284635e-06
800.0,2.4030309473849462e-06
810.0,2.2865422805348493e-06
820.0,2.1770274362571576e-06
830.0,2.0739913576986292e-06
