lambda,beta_abs
360.0,7.4903820780285695e-06
393.57142857142856,6.891505999192489e-06
427.1428571428571,6.325766082350278e-06
460.7142857142857,5.8753035802834504e-06
494.2857142857143,5.462251991962015e-06
527.8571428571429,5.146247791663125e-06
561.4285714285714,4.784678144046093e-06
595.0,4.532870970613567e-06
628.5714285714286,4.263344768997087e-06
662.1428571428571,4.03300464783622e-06
695.7142857142857,3.8469992263640456e-06
729.2857142857142,3.652556234629081e-06
762.8571428571429,3.4755508375660777e-06
796.4285714285713,3.320444578608013e-06
830.0,3.1735224806800197e-06
