lambda,beta_sca
360.0,6.637981755044002e-05
393.57142857142856,6.097071372908716e-05
427.1428571428571,5.58213047484215e-05
460.7142857142857,5.1318899937431175e-05
494.2857142857143,4.7034335274791644e-05
527.8571428571429,4.3312646721031547e-05
561.4285714285714,3.9625153144463054e-05
595.0,3.662452051396747e-05
628.5714285714286,3.361371839105974e-05
662.1428571428571,3.10758789619324e-05
695.7142857142857,2.8779097928954476e-05
729.2857142857142,2.6530734251436e-05
762.8571428571429,2.4508550700602605e-05
796.4285714285713,2.2686236624721576e-05
830.0,2.1005004842155817e-05
