lambda,beta_sca
360.0,5.854890341660134e-05
393.57142857142856,4.0989399506987e-05
427.1428571428571,2.9546216158020172e-05
460.7142857142857,2.1831841563784254e-05
494.2857142857143,1.6478702891784768e-05
527.8571428571429,1.2670228995762505e-05
561.4285714285714,9.90111882322823e-06
595.0,7.8488255668048e-06
628.5714285714286,6.301771132433138e-06
662.1428571428571,5.1177813947710765e-06
695.7142857142857,4.199244425761788e-06
729.2857142857142,3.47783902182167e-06
762.8571428571429,2.9049067176305055e-06
796.4285714285713,2.4452423033900766e-06
830.0,2.0730058654123326e-06
