lambda,beta_abs
360.0,6.34132e-09
393.57142857142856,5.223297685714254e-09
427.1428571428571,4.091533285714264e-08
460.7142857142857,2.019894671428565e-07
494.2857142857143,6.177336228571376e-07
527.8571428571429,1.4096001999999957e-06
561.4285714285714,2.3237175999999955e-06
595.0,2.611763999999995e-06
628.5714285714286,1.7680460000000094e-06
662.1428571428571,9.516202428571488e-07
695.7142857142857,4.4595755142857523e-07
729.2857142857142,2.2668683571428794e-07
762.8571428571429,1.3709073999999926e-07
796.4285714285713,8.178076428571476e-08
830.0,3.818227000000153e-08
