lambda,beta_sca,beta_abs
360.0,0.0,0.0
370.0,0.0,0.0
380.0,0.0,0.0
390.0,0.0,0.0
400.0,0.0,0.0
410.0,0.0,0.0
420.0,0.0,0.0
430.0,0.0,0.0
440.0,0.0,0.0
450.0,0.0,0.0
460.0,0.0,0.0
470.0,0.0,0.0
480.00000000000006,0.0,0.0
490.00000000000006,0.0,0.0
500.00000000000006,0.0,0.0
509.99999999999994,0.0,0.0
520.0,0.0,0.0
530.0,0.0,0.0
540.0,0.0,0.0
550.0,0.0,0.0
560.0,0.0,0.0
570.0,0.0,0.0
580.0,0.0,0.0
590.0,0.0,0.0
600.0,0.0,0.0
610.0,0.0,0.0
620.0,0.0,0.0
630.0,0.0,0.0
640.0,0.0,0.0
650.0,0.0,0.0
660.0,0.0,0.0
670.0,0.0,0.0
680.0,0.0,0.0
690.0,0.0,0.0
700.0,0.0,0.0
710.0,0.0,0.0
720.0,0.0,0.0
730.0,0.0,0.0
740.0,0.0,0.0
750.0,0.0,0.0
760.0,0.0,0.0
770.0,0.0,0.0
780.0,0.0,0.0
790.0,0.0,0.0
800.0,0.0,0.0
810.0,0.0,0.0
820.0,0.0,0.0
830.0,0.0,0.0
