lambda,beta_abs
360.0,1.71630797160562e-05
393.57142857142856,1.6741966583360095e-05
427.1428571428571,1.495824949784315e-05
460.7142857142857,1.2663414594812817e-05
494.2857142857143,1.053075888673335e-05
527.8571428571429,8.998119543332113e-06
561.4285714285714,7.1357360294511715e-06
595.0,4.155130400363376e-06
628.5714285714286,2.6384612639878386e-06
662.1428571428571,2.0924608122134197e-06
695.7142857142857,1.708631864260558e-06
729.2857142857142,1.4681435666040669e-06
762.8571428571429,1.2968276532885852e-06
796.4285714285713,1.2435828450232974e-06
830.0,1.235903477168287e-06
