lambda,beta_sca
360.0,2.6925543796409108e-05
393.57142857142856,2.764043620417947e-05
427.1428571428571,2.975531867481212e-05
460.7142857142857,3.239740126999649e-05
494.2857142857143,3.488572387955096e-05
527.8571428571429,3.6823199370762924e-05
561.4285714285714,3.904114828576722e-05
595.0,4.2499834760329105e-05
628.5714285714286,4.451441006133689e-05
662.1428571428571,4.543272802849183e-05
695.7142857142857,4.616186941199372e-05
729.2857142857142,4.6632743446038804e-05
762.8571428571429,4.702815233508779e-05
796.4285714285713,4.7573638853052904e-05
830.0,4.798233179437715e-05
