lambda,beta_sca
360.0,1.0906490584477307e-08
393.57142857142856,7.63485474920445e-09
427.1428571428571,5.503037073210877e-09
460.7142857142857,4.066008816631777e-09
494.2857142857143,3.0689004207238614e-09
527.8571428571429,2.3595512837930525e-09
561.4285714285714,1.8438134997397544e-09
595.0,1.4615954047624644e-09
628.5714285714286,1.1734821448271177e-09
662.1428571428571,9.529897684859506e-10
695.7142857142857,7.819362497618747e-10
729.2857142857142,6.475960725034915e-10
762.8571428571429,5.409064544850367e-10
796.4285714285713,4.5531054115072205e-10
830.0,3.859958739277236e-10
