lambda,beta_sca,beta_abs
360.0,5.023420279748336e-08,5.5815780886092625e-09
370.0,-1.4186249934766694e-07,-1.5762499927518537e-08
380.0,5.9073917757501704e-08,6.5637686397224115e-09
390.0,2.9621159245429853e-07,3.29123991615887e-08
400.0,-5.526595810989576e-07,-6.14066201221064e-08
410.0,5.414669376868631e-07,6.016299307631807e-08
420.0,-1.8919764834812725e-07,-2.102196092756969e-08
430.0,-1.892061067820805e-07,-2.10229007535645e-08
440.0,7.379243256444568e-08,8.199159173827295e-09
450.0,-6.081108161026805e-07,-6.756786845585334e-08
460.0,3.3973972675127583e-07,3.774885852791955e-08
470.0,5.244287943906301e-07,5.826986604340334e-08
480.00000000000006,5.820477392060042e-07,6.467197102288933e-08
490.00000000000006,-8.770526045420723e-07,-9.74502893935636e-08
500.00000000000006,1.1217127666718341e-07,1.2463475185242598e-08
509.99999999999994,1.3654604447133067e-07,1.517178271903674e-08
520.0,-3.281526512521893e-07,-3.646140569468768e-08
530.0,-1.3435964341113049e-08,-1.4928849267903388e-09
540.0,7.681912602031105e-07,8.535458446701221e-08
550.0,-1.0883721733856433e-06,-1.209302414872937e-07
560.0,5.347283068335429e-07,5.941425631483808e-08
570.0,-7.41151983185695e-07,-8.235022035396607e-08
580.0,-1.0580929206804868e-06,-1.175658800756096e-07
590.0,4.2689168600063e-08,4.743240955562553e-09
600.0,1.2203047564440796e-06,1.3558941738267537e-07
610.0,1.0887986104712867e-06,1.2097762338569838e-07
620.0,1.2690152209060557e-07,1.4100169121178391e-08
630.0,-1.8929987677385185e-07,-2.1033319641539094e-08
640.0,1.338498974057245e-06,1.4872210822858274e-07
650.0,7.954917097041658e-07,8.838796774490729e-08
660.0,-6.414417898836789e-07,-7.12713099870754e-08
670.0,-1.2457677573518567e-06,-1.384186397057618e-07
680.0,-9.310486919433813e-07,-1.0344985466037573e-07
690.0,-4.419769606300861e-07,-4.9108551181120664e-08
700.0,-4.789180002573445e-07,-5.321311113970495e-08
710.0,-7.559631404863155e-07,-8.399590449847945e-08
720.0,1.0075079614590976e-06,1.119453290510108e-07
730.0,-1.6491541834140479e-06,-1.8323935371267184e-07
740.0,-1.4204032949827194e-07,-1.5782258833141327e-08
750.0,-1.2731172981839122e-06,-1.414574775759903e-07
760.0,1.1257066794723158e-06,1.2507851994136847e-07
770.0,-2.0717437091866133e-06,-2.3019374546517906e-07
780.0,-8.276360442982523e-07,-9.195956047758352e-08
790.0,2.694540358838538e-07,2.993933732042816e-08
800.0,-5.528117365871666e-07,-6.142352628746293e-08
810.0,-1.3861591920294458e-06,-1.540176880032718e-07
820.0,-7.005706005314138e-07,-7.784117783682376e-08
830.0,-2.0902208897721766e-06,-2.3224676553024156e-07
