lambda,beta_abs
360.0,2.5515168690975726e-09
393.57142857142856,1.7120762033671609e-09
427.1428571428571,1.0451461679315163e-09
460.7142857142857,6.629838598211035e-10
494.2857142857143,6.29180510279431e-10
527.8571428571429,1.3024749836917834e-09
561.4285714285714,2.096995574391662e-09
595.0,5.0791866050340494e-09
628.5714285714286,9.484941514828165e-09
662.1428571428571,1.1814768330110857e-08
695.7142857142857,1.7328718502633125e-08
729.2857142857142,6.21149876771009e-08
762.8571428571429,8.176545065761368e-08
796.4285714285713,6.24555043103674e-08
830.0,9.768916275147286e-08
