lambda,beta_sca,beta_abs
360.0,5.836518020142113e-05,0.0
370.0,5.230810876688306e-05,0.0
380.0,4.7016756702071905e-05,0.0
390.0,4.2377850008760634e-05,0.0
400.0,3.8297190379229995e-05,0.0
410.0,3.469607075017505e-05,0.0
420.0,3.1508431077191654e-05,0.0
430.0,2.8678588319089225e-05,0.0
440.0,2.615941467155881e-05,0.0
450.0,2.3910867827163497e-05,0.0
460.0,2.1898799279213906e-05,0.0
470.0,2.0093983435903583e-05,0.0
480.00000000000006,1.8471323007377105e-05,0.0
490.00000000000006,1.70091958133115e-05,0.0
500.00000000000006,1.568891559080711e-05,0.0
509.99999999999994,1.4494285118684683e-05,0.0
520.0,1.3411224426034123e-05,0.0
530.0,1.242746032594058e-05,0.0
540.0,1.1532266238587809e-05,0.0
550.0,1.071624341365725e-05,0.0
560.0,9.971136360482406e-06,0.0
570.0,9.289676645009717e-06,0.0
580.0,8.665450291174564e-06,0.0
590.0,8.092784889197608e-06,0.0
600.0,7.566653209647413e-06,0.0
610.0,7.082590684915443e-06,0.0
620.0,6.636624576313577e-06,0.0
630.0,6.22521301671983e-06,0.0
640.0,5.845192422384645e-06,0.0
650.0,5.4937320164530285e-06,0.0
660.0,5.16829441148774e-06,0.0
670.0,4.866601367178539e-06,0.0
680.0,4.586603979186987e-06,0.0
690.0,4.326456671072593e-06,0.0
700.0,4.084494457791801e-06,0.0
710.0,3.8592130298406175e-06,0.0
720.0,3.6492512745462524e-06,0.0
730.0,3.4533759075944352e-06,0.0
740.0,3.2704679354745287e-06,0.0
750.0,3.0995107096597378e-06,0.0
760.0,2.9395793672648604e-06,0.0
770.0,2.7898314816673693e-06,0.0
780.0,2.649498770984824e-06,0.0
790.0,2.5178797330735755e-06,0.0
800.0,2.394333093428828e-06,0.0
810.0,2.278271967506391e-06,0.0
820.0,2.1691586519523267e-06,0.0
830.0,2.0664999703521604e-06,0.0
