lambda,beta_sca
3.6e-07,6.678276464185287e-05
3.7205128205128207e-07,5.826267963112857e-05
3.841025641025641e-07,5.1030584038706385e-05
3.9615384615384616e-07,4.487063996390821e-05
4.0820512820512823e-07,3.959884800888279e-05
4.2025641025641025e-07,3.506645246749221e-05
4.323076923076923e-07,3.123116228912272e-05
4.4435897435897434e-07,2.788734417495797e-05
4.564102564102564e-07,2.4973748053676308e-05
4.684615384615385e-07,2.2429121510672602e-05
4.805128205128204e-07,2.020144891289217e-05
4.925641025641025e-07,1.8257431493952278e-05
5.046153846153846e-07,1.654092143924931e-05
5.166666666666667e-07,1.5018618567587916e-05
5.287179487179487e-07,1.3658680794896715e-05
5.407692307692308e-07,1.2453088586993846e-05
5.528205128205129e-07,1.138920178617093e-05
5.648717948717948e-07,1.0432262401492495e-05
5.769230769230769e-07,9.573083744620154e-06
5.88974358974359e-07,8.797032186754063e-06
6.01025641025641e-07,8.10177490071327e-06
6.13076923076923e-07,7.4763009519304755e-06
6.251282051282051e-07,6.908554456128681e-06
6.371794871794872e-07,6.392240148942032e-06
6.492307692307692e-07,5.922764188806256e-06
6.612820512820513e-07,5.497744152723405e-06
6.733333333333334e-07,5.110690615391263e-06
6.853846153846155e-07,4.75686389900543e-06
6.974358974358974e-07,4.43237482715103e-06
7.094871794871795e-07,4.134160794572316e-06
7.215384615384616e-07,3.862586723466355e-06
7.335897435897435e-07,3.612936501502741e-06
7.456410256410256e-07,3.3828045768118706e-06
7.576923076923077e-07,3.1699301063354065e-06
7.697435897435897e-07,2.9730977162262642e-06
7.817948717948718e-07,2.7928906961788604e-06
7.938461538461539e-07,2.6259550779474626e-06
8.05897435897436e-07,2.4878224211065072e-06
8.179487179487179e-07,2.3716868631246942e-06
8.3e-07,2.256110559601272e-06
