lambda,beta_abs
3.6e-07,5.069064930759962e-06
3.935714285714286e-07,4.439914393614698e-06
4.271428571428571e-07,4.127663723553507e-06
4.607142857142857e-07,4.012074301804109e-06
4.942857142857143e-07,3.797027494479309e-06
5.278571428571428e-07,3.4557580483109452e-06
5.614285714285714e-07,3.3479315661801386e-06
5.95e-07,2.983626787932077e-06
6.285714285714286e-07,2.687076014744908e-06
6.621428571428571e-07,2.7808463589676546e-06
6.957142857142857e-07,2.5657363338786135e-06
7.292857142857143e-07,2.549981878366497e-06
7.628571428571428e-07,2.2059276265581553e-06
7.964285714285715e-07,2.30052679162429e-06
8.3e-07,2.1321951797477853e-06
