lambda,beta_sca
3.6e-07,4.4388398294642896e-05
3.935714285714286e-07,3.968481745148016e-05
4.271428571428571e-07,3.73025380415159e-05
4.607142857142857e-07,3.567754908416329e-05
4.942857142857143e-07,3.254003315851693e-05
5.278571428571428e-07,2.9823225195691825e-05
5.614285714285714e-07,2.9036615826100043e-05
5.95e-07,2.4512493495920224e-05
6.285714285714286e-07,2.2044227001602744e-05
6.621428571428571e-07,2.3157194980627878e-05
6.957142857142857e-07,2.039653032908749e-05
7.292857142857143e-07,1.969342625016047e-05
7.628571428571428e-07,1.6719796709285035e-05
7.964285714285715e-07,1.723715253332074e-05
8.3e-07,1.5409028161733895e-05
