lambda,beta_sca
3.6e-07,6.141823324618791e-05
3.935714285714286e-07,4.299451653630864e-05
4.271428571428571e-07,3.098951142046786e-05
4.607142857142857e-07,2.289710663083244e-05
4.942857142857143e-07,1.728204323741003e-05
5.278571428571428e-07,1.3287452089364185e-05
5.614285714285714e-07,1.0383153656288008e-05
5.95e-07,8.230750926335628e-06
6.285714285714286e-07,6.6082851787179935e-06
6.621428571428571e-07,5.3666160923849374e-06
6.957142857142857e-07,4.403354369541762e-06
7.292857142857143e-07,3.646838212737595e-06
7.628571428571428e-07,3.046031950296929e-06
7.964285714285715e-07,2.564011658859672e-06
8.3e-07,2.1736767141852563e-06
