lambda,beta_abs
3.6e-07,1.174812236124285e-05
3.935714285714286e-07,1.1630663655905263e-05
4.271428571428571e-07,9.724067131238038e-06
4.607142857142857e-07,8.330434250833275e-06
4.942857142857143e-07,6.715372765105192e-06
5.278571428571428e-07,5.783124519279803e-06
5.614285714285714e-07,4.543416197665692e-06
5.95e-07,2.637258707712603e-06
6.285714285714286e-07,1.6926124598706562e-06
6.621428571428571e-07,1.3364860423364536e-06
6.957142857142857e-07,1.093418977736148e-06
7.292857142857143e-07,9.632390429728668e-07
7.628571428571428e-07,8.067889812335349e-07
7.964285714285715e-07,7.597441287588043e-07
8.3e-07,8.209969409417071e-07
