lambda,beta_sca
3.6e-07,1.9267421981375997e-05
3.935714285714286e-07,1.9660363417277305e-05
4.271428571428571e-07,2.0085175292029574e-05
4.607142857142857e-07,2.1931045427146884e-05
4.942857142857143e-07,2.3068904424640008e-05
5.278571428571428e-07,2.430409604719798e-05
5.614285714285714e-07,2.570511298879631e-05
5.95e-07,2.7964250603028175e-05
6.285714285714286e-07,2.9285669376124467e-05
6.621428571428571e-07,2.963039352835966e-05
6.957142857142857e-07,3.0132887463938436e-05
7.292857142857143e-07,3.102014568747668e-05
7.628571428571428e-07,3.0441966652131755e-05
7.964285714285715e-07,3.116531516708521e-05
8.3e-07,3.221724971270968e-05
