lambda,beta_sca
3.6e-07,1.2737054232943334e-06
3.935714285714286e-07,8.916301558969574e-07
4.271428571428571e-07,6.426676033365304e-07
4.607142857142857e-07,4.7484545471275135e-07
4.942857142857143e-07,3.58398980785768e-07
5.278571428571428e-07,2.7555823235988705e-07
5.614285714285714e-07,2.1532822459905706e-07
5.95e-07,1.706912025723117e-07
6.285714285714286e-07,1.3704413536400606e-07
6.621428571428571e-07,1.1129411675210638e-07
6.957142857142857e-07,9.1317773969349e-08
7.292857142857143e-07,7.562896820593897e-08
7.628571428571428e-07,6.316930998437375e-08
7.964285714285715e-07,5.3173062503913124e-08
8.3e-07,4.507820679648433e-08
