lambda,beta_abs
3.6e-07,1.5096168696405971e-05
3.7205128205128207e-07,1.4703695375379184e-05
3.841025641025641e-07,1.4333457923406198e-05
3.9615384615384616e-07,1.3983556437371485e-05
4.0820512820512823e-07,1.3652304803581217e-05
4.2025641025641025e-07,1.3338201183571586e-05
4.323076923076923e-07,1.3039903285705547e-05
4.4435897435897434e-07,1.2756207537468369e-05
4.564102564102564e-07,1.2486031456164444e-05
4.684615384615385e-07,1.2228398657017688e-05
4.805128205128204e-07,1.1982426047709876e-05
4.925641025641025e-07,1.174731284467203e-05
5.046153846153846e-07,1.1522331114546984e-05
5.166666666666667e-07,1.1306817598330506e-05
5.287179487179487e-07,1.1100166618913394e-05
5.407692307692308e-07,1.090182390746637e-05
5.528205128205129e-07,1.071128121215421e-05
5.648717948717948e-07,1.0528071575432821e-05
5.769230769230769e-07,1.0351765184756035e-05
5.88974358974359e-07,1.0181965716740851e-05
6.01025641025641e-07,1.0018307107369982e-05
6.13076923076923e-07,9.86045069116885e-06
6.251282051282051e-07,9.708082660891982e-06
6.371794871794872e-07,9.560911806417245e-06
6.492307692307692e-07,9.418667497537946e-06
6.612820512820513e-07,9.281097880371337e-06
6.733333333333334e-07,9.147968261337495e-06
6.853846153846155e-07,9.019059656240806e-06
6.974358974358974e-07,8.894167485020434e-06
7.094871794871795e-07,8.773100395314822e-06
7.215384615384616e-07,8.655679200185282e-06
7.335897435897435e-07,8.541735917224544e-06
7.456410256410256e-07,8.431112897889274e-06
7.576923076923077e-07,8.323662037282385e-06
7.697435897435897e-07,8.219244055806614e-06
7.817948717948718e-07,8.117727845143758e-06
7.938461538461539e-07,8.01898987190904e-06
8.05897435897436e-07,7.922913633106801e-06
8.179487179487179e-07,7.8293891581898e-06
8.3e-07,7.738312553114073e-06
