lambda,beta_abs
3.6e-07,0.0
3.7205128205128207e-07,0.0
3.841025641025641e-07,0.0
3.9615384615384616e-07,0.0
4.0820512820512823e-07,0.0
4.2025641025641025e-07,0.0
4.323076923076923e-07,0.0
4.4435897435897434e-07,0.0
4.564102564102564e-07,0.0
4.684615384615385e-07,0.0
4.805128205128204e-07,0.0
4.925641025641025e-07,0.0
5.046153846153846e-07,0.0
5.166666666666667e-07,0.0
5.287179487179487e-07,0.0
5.407692307692308e-07,0.0
5.528205128205129e-07,0.0
5.648717948717948e-07,0.0
5.769230769230769e-07,0.0
5.88974358974359e-07,0.0
6.01025641025641e-07,0.0
6.13076923076923e-07,0.0
6.251282051282051e-07,0.0
6.371794871794872e-07,0.0
6.492307692307692e-07,0.0
6.612820512820513e-07,0.0
6.733333333333334e-07,0.0
6.853846153846155e-07,0.0
6.974358974358974e-07,0.0
7.094871794871795e-07,0.0
7.215384615384616e-07,0.0
7.335897435897435e-07,0.0
7.456410256410256e-07,0.0
7.576923076923077e-07,0.0
7.697435897435897e-07,0.0
7.817948717948718e-07,0.0
7.938461538461539e-07,0.0
8.05897435897436e-07,0.0
8.179487179487179e-07,0.0
8.3e-07,0.0
