lambda,beta_sca
3.6e-07,6.678276651860079e-05
3.7205128205128207e-07,5.8262680206153276e-05
3.841025641025641e-07,5.1030584575520726e-05
3.9615384615384616e-07,4.4870639708708825e-05
4.0820512820512823e-07,3.95988469368869e-05
4.2025641025641025e-07,3.506645172197782e-05
4.323076923076923e-07,3.1231161107077264e-05
4.4435897435897434e-07,2.7887343818960985e-05
4.564102564102564e-07,2.4973747989008954e-05
4.684615384615385e-07,2.2429121748601203e-05
4.805128205128204e-07,2.020144962200489e-05
4.925641025641025e-07,1.8257431982232098e-05
5.046153846153846e-07,1.654092128304788e-05
5.166666666666667e-07,1.5018617897464373e-05
5.287179487179487e-07,1.3658680576318e-05
5.407692307692308e-07,1.2453088241575194e-05
5.528205128205129e-07,1.1389201618758803e-05
5.648717948717948e-07,1.0432262703056707e-05
5.769230769230769e-07,9.573083714175885e-06
5.88974358974359e-07,8.797032261279344e-06
6.01025641025641e-07,8.101774939848236e-06
6.13076923076923e-07,7.476300997309189e-06
6.251282051282051e-07,6.908554510314785e-06
6.371794871794872e-07,6.3922401479235205e-06
6.492307692307692e-07,5.922764019988893e-06
6.612820512820513e-07,5.497744109397913e-06
6.733333333333334e-07,5.1106906348324984e-06
6.853846153846155e-07,4.756863868363728e-06
6.974358974358974e-07,4.432374802460172e-06
7.094871794871795e-07,4.134160843690825e-06
7.215384615384616e-07,3.862586586511767e-06
7.335897435897435e-07,3.6129366092911353e-06
7.456410256410256e-07,3.3828045886188594e-06
7.576923076923077e-07,3.1699300388672955e-06
7.697435897435897e-07,2.9730976451828763e-06
7.817948717948718e-07,2.7928907586953113e-06
7.938461538461539e-07,2.625955110408747e-06
8.05897435897436e-07,2.487822424151824e-06
8.179487179487179e-07,2.3716869367445442e-06
8.3e-07,2.256110494169906e-06
