lambda,beta_abs
3.6e-07,5.060989167754461e-06
3.935714285714286e-07,4.698825189153769e-06
4.271428571428571e-07,4.082672446190136e-06
4.607142857142857e-07,4.002035673352462e-06
4.942857142857143e-07,3.64051041812355e-06
5.278571428571428e-07,3.485864231327697e-06
5.614285714285714e-07,2.89318546619574e-06
5.95e-07,2.9100792786794076e-06
6.285714285714286e-07,2.9832458294567348e-06
6.621428571428571e-07,2.6447744466269445e-06
6.957142857142857e-07,2.488196882885229e-06
7.292857142857143e-07,2.3907627834526627e-06
7.628571428571428e-07,2.345009288339242e-06
7.964285714285715e-07,2.262262473056505e-06
8.3e-07,2.031032490229441e-06
