lambda,beta_abs
3.6e-07,6.34132e-09
3.935714285714286e-07,5.223297685714303e-09
4.271428571428571e-07,4.0915332857142814e-08
4.607142857142857e-07,2.019894671428572e-07
4.942857142857143e-07,6.177336228571443e-07
5.278571428571428e-07,1.4096001999999993e-06
5.614285714285714e-07,2.3237175999999998e-06
5.95e-07,2.6117640000000004e-06
6.285714285714286e-07,1.7680460000000005e-06
6.621428571428571e-07,9.516202428571441e-07
6.957142857142857e-07,4.459575514285708e-07
7.292857142857143e-07,2.2668683571428574e-07
7.628571428571428e-07,1.3709074e-07
7.964285714285715e-07,8.178076428571426e-08
8.3e-07,3.818227e-08
