lambda,beta_abs
3.6e-07,1.1532393827151909e-05
3.935714285714286e-07,1.1262236730113942e-05
4.271428571428571e-07,9.913118418187548e-06
4.607142857142857e-07,8.415371849128186e-06
4.942857142857143e-07,6.903827696425659e-06
5.278571428571428e-07,5.701999780319583e-06
5.614285714285714e-07,4.706603575270443e-06
5.95e-07,2.6469228538020223e-06
6.285714285714286e-07,1.619398601963552e-06
6.621428571428571e-07,1.3738389667661218e-06
6.957142857142857e-07,1.109682445415405e-06
7.292857142857143e-07,9.400231307856778e-07
7.628571428571428e-07,8.455384043160862e-07
7.964285714285715e-07,7.854690711442662e-07
8.3e-07,7.61747468917175e-07
