Feature_ID,Feature_Name,Diameter,Center_Latitude,Center_Longitude,
4,"Abalos Colles",235.83,76.83,-71.65,
5,"Abalos Undae",442.74,78.52,-87.5,
6,"Aban",4.28,15.91,111.1,
25,"Abus Vallis",60.99,-5.49,-147.2,
31,"Achar",5.36,45.43,123.16,
34,"Acheron Catena",421.77,37.47,-100.8,
35,"Acheron Fossae",703.11,38.27,-135.02,
36,"Acidalia Colles",356.3,50.34,-23.09,
37,"Acidalia Mensa",226.86,46.69,-25.34,
38,"Acidalia Planitia",3505,49.76,-20.74,
45,"Adamas Labyrinthus",853,35.7,105.12,
46,"Adams",90.22,30.91,163.1,
65,"Aeolis",0,-4.94,145,
66,"Aeolis Mensae",785.09,-3.25,140.63,
68,"Aeria",0,9.88,50,
69,"Aesacus Dorsum",276.69,36.82,153.15,
71,"Aetheria",0,39.67,130,
72,"Aethiopis",0,9.88,130,
79,"Aganippe Fossa",537.16,-8.49,-126,
81,"Agassiz",108.77,-69.88,-88.89,
114,"Airy",43.05,-5.14,0.05,
115,"Airy-0",0.79,-5.07,0,
124,"Ajon",8.08,16.49,103.14,
131,"Aki",7.87,-35.46,-60.24,
139,"Aktaj",5.01,20.41,-46.49,
151,"Al-Qahira Vallis",600,-18.23,162.41,
157,"Alba Catena",144.86,35.04,-114.58,
158,"Alba Fossae",2072.02,49.39,-106.82,
159,"Alba Patera",65.98,39.53,-109.18,
160,"Albany",2.15,22.96,-49.02,
164,"Albi",9.07,-41.47,-35.01,
165,"Albor Fossae",155,18.09,150.78,
166,"Albor Tholus",158.38,18.87,150.47,
178,"Alexey Tolstoy",93.04,-47.44,125.34,
182,"Alga",18.72,-24.34,-26.68,
189,"Alitus",50,-34.91,-38.14,
193,"Allegheny Vallis",171.08,-9.01,-53.9,
205,"Alpheus Colles",633.03,-39.38,61.53,
218,"Amazonis",0,0,-140,
219,"Amazonis Mensa",414.04,-1.98,-146.9,
220,"Amazonis Planitia",2809.04,25.75,-162.91,
221,"Amazonis Sulci",250.59,-2.15,-143.71,
226,"Amenthes",0,4.94,110,
227,"Amenthes Fossae",850,9.07,102.68,
228,"Amenthes Planum",953,3.4,105.92,
