Feature_ID,Feature_Name,Diameter,Center_Latitude,Center_Longitude,
21,"Abu Nuwas",117,17.63,-21.19,
60,"Adventure Rupes",340,-65.48,-65.3,
76,"Africanus Horton",140,-50.96,-41.19,
99,"Ahmad Baba",126,58.33,-128.35,
144,"Al-Akhtal",94.29,59.38,-99.71,
147,"Al-Hamadhani",164,39.19,-91.76,
148,"Al-Jāhiz",83,1.36,-21.76,
176,"Alencar",106,-63.64,-103.78,
244,"Amru Al-Qays",47,12.43,-176.11,
257,"Andal",109,-47.52,-37.71,
298,"Antoniadi Dorsum",359.4,27.2,-29.65,
327,"Apollonia",0,45,45,
383,"Aristoxenus",52.14,83.93,-17.46,
442,"Astrolabe Rupes",251,-42.55,-70.9,
474,"Aurora",0,45,-90,
489,"Australia",0,-72.5,0,
528,"Aśvaghosa",88,10.61,-21.49,
537,"Bach",214.29,-69.86,-103.01,
568,"Balagtas",104,-22.56,-13.9,
587,"Balzac",67,10.62,-144.67,
607,"Barma",123,-40.93,-163.49,
624,"Bartók",118,-29.22,-135.06,
628,"Bashō",75,-32.39,-170.45,
660,"Beethoven",630,-20.86,-124.21,
670,"Belinskij",70.67,-77.09,-103.92,
675,"Bello",139,-18.87,-120.18,
708,"Bernini",168.13,-80.32,-140.97,
761,"Bjornson",75.93,73.11,-113.99,
788,"Boccaccio",151.95,-80.99,-23.01,
794,"Boethius",114,-0.98,-73.64,
822,"Borea",0,75,0,
823,"Borealis Planitia",3450,67.3,32.6,
838,"Botticelli",136.35,63.63,-112.35,
859,"Brahms",100,58.32,-177.36,
860,"Bramante",156,-47.23,-61.55,
890,"Brontë",68,38.39,-127.06,
898,"Bruegel",72,49.73,-109.46,
899,"Brunelleschi",128.57,-8.94,-22.51,
909,"Budh Planitia",816,19.52,-150.46,
926,"Burns",43,54.1,-117.37,
944,"Byron",106.58,-8.44,-33,
956,"Caduceata",0,45,-135,
976,"Callicrates",68,-66.51,-30.37,
978,"Caloris Montes",1023,31.46,-174.15,
979,"Caloris Planitia",1500,31.65,161.98,
994,"Camões",70,-71.42,-68.39,
1017,"Carducci",108.19,-36.54,-90.39,
1113,"Cervantes",213.16,-76.09,-124.26,
1121,"Chaikovskij",171,7.86,-50.93,
1140,"Chao Meng-Fu",140.73,-88.42,-156.36,
1171,"Chekhov",194,-36.2,-61.23,
1178,"Chiang K'ui",41,14.71,-102.8,
1197,"Chopin",131,-65.45,-123.4,
1208,"Chu Ta",100,2.04,-105.66,
1213,"Chŏng Ch'ŏl",143,46.87,-117.31,
1266,"Coleridge",112,-55.67,-66.6,
1299,"Copley",34,-38.63,-86.01,
1324,"Couperin",80,29.74,-151.94,
1368,"Cyllene",0,-41,90,
1374,"Cézanne",67,-8.47,-123.69,
1420,"Darío",151,-26.28,-9.51,
1458,"Degas",54,37.08,-127.34,
1466,"Delacroix",158,-44.32,-129.51,
1496,"Derzhavin",156,45.6,-36.93,
1503,"Despréz",47.05,81.08,-101.25,
1527,"Dickens",77.31,-73.26,-155.96,
1548,"Discovery Rupes",412,-54.7,-37.24,
1576,"Donne",86,2.92,-14.05,
1626,"Dostoevskij",430.06,-44.73,-178.11,
1633,"Dowland",158,-53.56,179.3,
1678,"Dvorák",75,-9.4,-12.13,
1699,"Dürer",195,21.51,-118.98,
1707,"Echegaray",63,43.48,-20.22,
1749,"Eitoku",101,-21.8,-157.18,
1798,"Endeavour Rupes",61,38.36,-31.38,
1819,"Equiano",102,-40,-30.59,
1950,"Fet",79,-4.72,179.78,
1977,"Flaubert",95,-13.83,-72.7,
2009,"Fram Rupes",156,-57.68,-93.2,
2044,"Futabatei",57,-16.05,-83.52,
2061,"Gainsborough",95,-35.73,175.48,
2117,"Gauguin",70,66.36,-100.01,
2154,"Ghiberti",110,-48.55,-80.15,
2173,"Giotto",144,12.46,-56.48,
2181,"Gjöa Rupes",237.9,-66.89,-158.5,
2194,"Gluck",100,37.95,-18.78,
2204,"Goethe",317.17,81.1,-51.03,
2206,"Gogol",79,-28.26,-147.46,
2229,"Goya",138,-6.79,-152.29,
2250,"Grieg",59,52.49,-15.36,
2270,"Guido d'Arezzo",58,-38.41,-18.53,
2334,"Hals",93,-54.96,-114.99,
2343,"Han Kan",50,-72.13,-146.4,
2344,"Handel",138,3.53,-34.38,
2378,"Harunobu",107,14.88,-140.93,
2387,"Hauptmann",118,-23.7,179.59,
2389,"Hawthorne",120,-51.31,-115.34,
2392,"Haydn",251,-27.22,-71.64,
2410,"Heemskerck Rupes",320,27.3,-124.31,
2414,"Heine",73,32.46,-124.88,
2425,"Heliocaminus",0,40,-170,
2474,"Hero Rupes",456,-58.72,-171.7,
2484,"Hesiod",101,-58.27,-34.25,
2489,"Hesperis",0,-45,5,
2523,"Hiroshige",138,-13.34,-26.96,
2526,"Hitomaro",105,-16.07,-15.65,
2536,"Holbein",115,36.16,-29.84,
2537,"Holberg",64,-67.37,-59.57,
2545,"Homer",319,-1.3,-36.62,
2552,"Horace",56,-69.34,-50.02,
2576,"Hugo",206,39.61,-48.49,
2584,"Hun Kal",1.13,-0.46,-20.01,
2638,"Ibsen",159,-24.35,-35.89,
2645,"Ictinus",58.03,-79.56,-174.24,
2678,"Imhotep",159,-17.97,-37.48,
2761,"Ives",18,-32.87,-111.99,
2804,"Janáček",47,55.72,-154.85,
2853,"Judah Ha-Levi",85,10.79,-108.01,
2877,"Jókai",93,71.93,-138.45,
2975,"Keats",107.85,-70.31,-156.65,
2987,"Kenkō",105,-21.35,-16.16,
3005,"Khansa",113,-58.95,-51.94,
3131,"Kuan Han-Ch'ing",143,29.44,-53.67,
3140,"Kuiper",62,-11.34,-31.32,
3169,"Kurosawa",152,-52.44,-21.49,
3180,"Kālidāsā",160,-18.21,-179.82,
3181,"Kōshō",64,59.93,-139.87,
3353,"Leopardi",71.45,-72.76,175.16,
3356,"Lermontov",166,15.24,-48.94,
3360,"Lessing",95,-28.5,-90.34,
3378,"Li Ch'ing-Chao",69,-77.96,-71.17,
3380,"Li Po",126,17.1,-35.69,
3383,"Liang K'ai",145,-39.89,175.84,
3399,"Liguria",0,45,135,
3424,"Liszt",79,-16.13,-168.34,
3495,"Lu Hsun",96,-0.01,-23.76,
3540,"Lysippus",155,1.03,-132.75,
3543,"Ma Chih-Yuan",197,-60.01,-78.01,
3555,"Machaut",104,-2.05,-82.37,
3592,"Mahler",104,-19.68,-18.82,
3636,"Mansart",84.97,72.72,-123.36,
3638,"Mansur",95,47.41,-163.61,
3656,"March",83,30.95,-176.3,
3718,"Mark Twain",142,-10.91,-138.28,
3726,"Martial",51,68.47,-178.33,
3730,"Martí",69.48,-75.96,-168.26,
3750,"Matisse",189.04,-23.83,-90.05,
3824,"Melville",146,22.01,-9.89,
3830,"Mena",15,-0.17,-124.73,
3838,"Mendes Pinto",192,-61.65,-17.57,
3881,"Michelangelo",229.71,-44.92,-109.78,
3884,"Mickiewicz",103,23.15,-103.23,
3906,"Milton",180,-26.13,-175.06,
3923,"Mirni Rupes",258.02,-38.54,-39.01,
3929,"Mistral",102,4.7,-54.67,
3944,"Mofolo",103,-37.68,-28.22,
3954,"Molière",139,15.4,-17.71,
3964,"Monet",203,44.23,-9.77,
4022,"Monteverdi",134,64.49,-81.01,
4058,"Mozart",241,7.75,169.41,
4071,"Murasaki",132,-12.54,-30.4,
4079,"Mussorgskij",115,32.82,-97.65,
4088,"Myron",25,71.21,-84.86,
4131,"Nampeyo",49,-40.33,-49.96,
4220,"Nervo",66,42.7,-179.89,
4225,"Neumann",122,-37.22,-34.56,
4315,"Nizāmī",77,70.46,-166.71,
4404,"Odin Planitia",473,23.6,-169.86,
4532,"Ovid",41,-69.77,-20.23,
4647,"Pentas",0,5,50,
4672,"Petrarch",167,-30.52,-26.29,
4682,"Phaethontias",0,0,-167,
4686,"Phidias",168,8.97,-149.73,
4693,"Philoxenus",87,-8.68,-111.75,
4725,"Pieria",0,0,90,
4726,"Pigalle",153,-37.65,-9.64,
4767,"Po Chü-I",70,-6.94,-165.28,
4768,"Po Ya",101,-45.92,-20.17,
4787,"Polygnotus",124,-0.13,-69.26,
4813,"Pourquoi-Pas Rupes",164.65,-58.54,-156.17,
4820,"Praxiteles",198,27.11,-60.28,
4854,"Proust",145,19.56,-47.59,
4863,"Puccini",76,-65.39,-45.32,
4873,"Purcell",87.67,80.43,-152.21,
4877,"Pushkin",232,-65.79,-20.73,
4910,"Rabelais",154,-60.53,-61.81,
4930,"Rajnis",80,4.36,-96.21,
4936,"Rameau",58,-54.58,-37.24,
4949,"Raphael",342,-20.42,-76.35,
4958,"Ravel",78,-12.01,-38.19,
4995,"Renoir",220,-18.34,-52.01,
4998,"Repin",95,-19.12,-63.33,
5003,"Resolution Rupes",139,-63.25,-50.66,
5031,"Riemenschneider",183,-52.75,-99.95,
5035,"Rilke",82,-44.81,-12.57,
5149,"Rimbaud",78,-63.62,-148.9,
5169,"Rodin",230,21.72,-18.89,
5211,"Rubens",158,60.58,-77.99,
5213,"Rublev",129,-15.12,-157.08,
5216,"Rude",68,-33.22,-79.29,
5252,"Rūdaki",124,-3.97,-51.76,
5253,"Rūmī",75,-24.2,-105.3,
5271,"Sadī",66.54,-79.24,-51.26,
5279,"Saikaku",64,71.96,-177.97,
5312,"Santa María Rupes",227,5.81,-20,
5325,"Sarmiento",95,-29.27,170.42,
5348,"Sayat-Nova",146,-27.98,-122.7,
5358,"Scarlatti",132,40.7,-101.16,
5367,"Schiaparelli Dorsum",374,23.26,-164.3,
5377,"Schoenberg",28,-16.06,-136.08,
5384,"Schubert",190,-43.21,-54.26,
5393,"Scopas",83.16,-81.26,174.71,
5408,"Sei",137,-64.61,-88.59,
5456,"Shakespeare",399,48.1,-152.25,
5483,"Shelley",171,-47.69,-128.27,
5486,"Shevchenko",143,-53.64,-46.02,
5495,"Sholem Aleichem",196,50.92,-90.48,
5512,"Sibelius",94,-49.5,-145.37,
5541,"Simonides",87,-29.13,-44.85,
5549,"Sinan",134,15.46,-30.59,
5602,"Smetana",191,-48.25,-70.17,
5611,"Snorri",21,-9.17,-83.24,
5614,"Sobkou Planitia",1128,39,-128.02,
5626,"Solitudo Admetei",0,55,-90,
5627,"Solitudo Alarum",0,-15,70,
5628,"Solitudo Aphrodites",0,25,70,
5629,"Solitudo Atlantis",0,-35,150,
5630,"Solitudo Criophori",0,0,130,
5631,"Solitudo Helii",0,-10,-180,
5632,"Solitudo Hermae Trismegisti",0,-45,-45,
5633,"Solitudo Horarum",0,25,-115,
5634,"Solitudo Iovis",0,0,0,
5635,"Solitudo Lycaonis",0,0,-107,
5636,"Solitudo Maiae",0,-15,-155,
5637,"Solitudo Martis",0,-35,-100,
5638,"Solitudo Neptuni",0,30,-150,
5639,"Solitudo Persephones",0,-41,135,
5640,"Solitudo Phoenicis",0,25,135,
5641,"Solitudo Promethei",0,-45,-142.5,
5650,"Sophocles",142,-6.95,-146.04,
5651,"Sor Juana",102,50.51,-25.59,
5668,"Spitteler",67,-69.18,-60.26,
5723,"Stravinsky",129,51.95,-78.9,
5726,"Strindberg",189,53.41,-136.67,
5750,"Suisei Planitia",569,60.88,-147.81,
5755,"Sullivan",153.23,-16.19,-86.88,
5767,"Surikov",224,-36.98,-124.9,
5801,"Sōseki",92,39.31,-38.77,
5802,"Sōtatsu",157,-48.73,-18.17,
5804,"Sūr Dās",131,-46.98,-93.57,
5830,"Takanobu",72,30.66,-108.56,
5831,"Takayoshi",136,-37.23,-163.82,
5858,"Tansen",27,4.11,-71.67,
5964,"Theophanes",46,-5.02,-142.78,
5979,"Thoreau",72,5.94,-132.64,
5990,"Thākur",111,-3.05,-64.57,
6022,"Tintoretto",94,-47.99,-22.95,
6025,"Tir Planitia",754,-1.04,-176.69,
6034,"Titian",109,-3.69,-42.53,
6052,"Tolstoj",355,-16.23,-164.64,
6079,"Tricrena",0,0,-36,
6113,"Tsurayuki",83,-62.99,-20.34,
6116,"Ts'ai Wen-Chi",124,23.47,-23.15,
6118,"Ts'ao Chan",110,-13.31,-142.35,
6132,"Tung Yüan",60.46,75.02,-62.83,
6140,"Turgenev",136,65.68,-136.26,
6161,"Tyagaraja",97,3.89,-148.9,
6228,"Unkei",121,-31.79,-62.6,
6249,"Ustad Isa",138,-31.91,-166.11,
6309,"Van Dijck",101.53,75.8,-166.63,
6310,"Van Eyck",271,43.22,-159.43,
6312,"van Gogh",99,-76.88,-138.68,
6345,"Velázquez",128,37.59,-55.43,
6354,"Verdi",145,64.36,-169.71,
6379,"Victoria Rupes",347,52.71,-34.16,
6392,"Vincente",108,-56.75,-142.96,
6415,"Vivaldi",213,13.76,-85.92,
6421,"Vlaminck",82,28.48,-13.51,
6450,"Vostok Rupes",124,-37.88,-19.6,
6461,"Vyāsa",297,49.79,-84.62,
6462,"Vālmiki",210,-23.58,-141.41,
6470,"Wagner",134,-68.25,-114.78,
6486,"Wang Meng",165,8.53,-104.12,
6522,"Wergeland",42,-37.93,-56.36,
6536,"Whitman",64,41.4,-111.64,
6580,"Wren",204,24.84,-35.95,
6648,"Yeats",92,9.44,-35.03,
6680,"Yun Sǒn-Do",76,-73.49,-110.08,
6704,"Zarya Rupes",128,-42.73,-20.42,
6709,"Zeami",129,-2.96,-147.41,
6710,"Zeehaen Rupes",164,49.64,-158.15,
6749,"Zola",70,49.75,-178.25,
6938,"Ōkyo",66,-70.05,-74.66,
14387,"Raditladi",258,27.15,119.06,
14388,"Eminescu",129,10.66,114.21,
14389,"Sveinsdóttir",212.79,-2.83,100.32,
14390,"Beagle Rupes",630,-3.22,100.76,
14391,"Neruda",112,-52.66,125.79,
14392,"Xiao Zhao",24,10.58,123.84,
14393,"Cunningham",37,30.41,157.07,
14394,"Atget",100,25.57,166.38,
14395,"Sander",47,42.43,154.56,
14396,"Pantheon Fossae",311,30.19,162.83,
14397,"Apollodorus",41.5,30.54,163.28,
14398,"Kertész",32,27.37,146.08,
14506,"Amaral",105,-26.49,117.82,
14507,"Dali",176,45.16,119.74,
14508,"Enwonwu",38,-10.01,121.96,
14509,"Glinka",89,14.83,-112.55,
14510,"Hovnatanian",34,-7.68,172.71,
14511,"Beckett",60,-40.2,111.29,
14512,"Moody",83,-13.21,144.85,
14513,"Munch",57,40.48,152.82,
14514,"Navoi",69,58.82,160.41,
14515,"Nāwahī",38,35.88,145.26,
14516,"Oskison",122,60.36,145.24,
14517,"Poe",77,43.76,159.1,
14518,"Qi Baishi",15,-4.31,164.37,
14519,"Raden Saleh",23,2.07,158.83,
14520,"Sher-Gil",77,-45.26,134.74,
14563,"Rembrandt",716,-32.89,87.87,
14574,"Abedin",116.23,61.73,-10.66,
14575,"Benoit",40,7.48,104.35,
14576,"Berkel",23,-13.73,26.81,
14577,"Calvino",67,-3.99,-56.03,
14578,"de Graft",68,22.05,1.89,
14579,"Derain",167,-9,19.7,
14580,"Eastman",67,9.52,125.76,
14581,"Gibran",106,35.73,-111.44,
14582,"Hemingway",126,17.38,-3.13,
14583,"Hodgkins",19,29.12,17.97,
14584,"Izquierdo",174,-1.66,107.04,
14585,"Kunisada",241.45,1.37,113.02,
14586,"Lange",176,6.4,100.41,
14587,"Matabei",23.52,-39.87,-13.9,
14588,"Munkácsy",193,21.95,101.14,
14589,"To Ngoc Van",71,52.49,-111.7,
14641,"Bek",32,21.16,-50.99,
14642,"Dominici",20,1.29,-36.49,
14643,"Geddes",84,27.17,-29.72,
14644,"Hokusai",114,57.84,16.65,
14645,"Picasso",134,3.44,50.24,
14646,"Kipling",164,-19.37,72.02,
14647,"Debussy",81,-33.95,12.54,
14648,"Firdousi",98,3.47,65.32,
14649,"Copland",208,37.63,72.99,
14650,"Steichen",196,-12.79,77.04,
14653,"Rachmaninoff",305,27.66,57.37,
14796,"Solitudo Argiphontae",0,-10,25,
14797,"Pleias",0,15,-140,
14798,"Gallia",0,40,-120,
14928,"Stieglitz",100,72.54,67.63,
14953,"Ailey",23,45.58,177.92,
