Feature_ID,Feature_Name,Diameter,Center_Latitude,Center_Longitude,
9,"Abbe",63.98,-57.58,174.77,
10,"Abbot",10.4,5.56,54.74,
12,"Abel",137.35,-34.63,85.78,
14,"Abenezra",43.19,-20.99,11.89,
16,"Abetti",1.6,20.11,27.82,
22,"Abul Wáfa",54.18,0.96,116.63,
23,"Abulfeda",62.23,-13.87,13.91,
40,"Acosta",13.06,-5.65,60.14,
47,"Adams",63.27,-31.89,68.39,
82,"Agatharchides",51.98,-19.85,-31.11,
92,"Agrippa",43.75,4.1,10.47,
113,"Airy",38.9,-18.14,5.61,
119,"Aitken",129.69,-16.44,172.96,
133,"Akis",2.28,20.01,-31.76,
145,"Al-Bakri",12.21,14.34,20.25,
146,"Al-Biruni",80.41,18.07,92.62,
149,"Al-Khwarizmi",56.25,7.02,107.01,
150,"Al-Marrakushi",8.57,-10.45,55.77,
156,"Alan",1.44,-10.93,-6.17,
162,"Albategnius",130.84,-11.24,4.01,
170,"Alden",111.44,-23.51,111.11,
171,"Alder",82.12,-48.63,-177.88,
172,"Aldrin",2.8,1.41,22.09,
174,"Alekhin",74.82,-67.94,-131.85,
177,"Alexander",94.8,40.25,13.69,
181,"Alfraganus",20.52,-5.42,18.97,
183,"Alhazen",34.65,15.91,71.83,
185,"Aliacensis",79.65,-30.6,5.13,
196,"Almanon",47.76,-16.85,15.14,
199,"Aloha",2.55,29.79,-53.88,
202,"Alpetragius",40.02,-16.05,-4.51,
206,"Alphonsus",110.54,-13.39,-2.85,
208,"Alter",64.73,18.74,-107.8,
223,"Ameghino",9.2,3.3,57.04,
232,"Amici",52.03,-10.06,-172.23,
236,"Ammonius",8.55,-8.52,-0.83,
240,"Amontons",2.47,-5.34,46.78,
247,"Amundsen",103.39,-84.44,83.07,
252,"Anaxagoras",51.9,73.48,-10.17,
254,"Anaximander",68.71,66.97,-51.44,
255,"Anaximenes",81.12,72.49,-44.98,
259,"Anders",41.33,-41.31,-143.3,
260,"Anderson",105.33,15.5,170.79,
261,"Andersson",13.42,-49.95,-95.46,
265,"Andronov",16.57,-22.68,146.11,
267,"Anděl",32.93,-10.41,12.38,
269,"Ango",0.87,20.48,-32.34,
272,"Angström",9.55,29.9,-41.67,
280,"Ann",2.12,25.11,-0.05,
283,"Annegrit",1.29,29.43,-25.64,
289,"Ansgarius",91.42,-12.92,79.72,
296,"Antoniadi",137.92,-69.3,-173.06,
304,"Anuchin",62.14,-48.85,101.66,
307,"Anville",10.26,1.84,49.51,
314,"Apennine Front",6.63,25.92,3.68,
320,"Apianus",63.44,-26.96,7.87,
326,"Apollo",524.23,-35.69,-151.48,
328,"Apollonius",50.66,4.51,60.96,
330,"Appleton",64.59,37.05,158.17,
337,"Arago",25.51,6.15,21.43,
344,"Aratus",10.23,23.58,4.51,
350,"Archimedes",81.04,29.72,-3.99,
351,"Archytas",31.95,58.87,4.99,
363,"Argelander",33.72,-16.55,5.8,
373,"Ariadaeus",10.4,4.55,17.28,
380,"Aristarchus",39.99,23.73,-47.49,
381,"Aristillus",54.37,33.88,1.21,
382,"Aristoteles",87.57,50.24,17.32,
385,"Armiński",26.76,-16.36,154.22,
386,"Armstrong",4.21,1.35,24.94,
387,"Arnold",93.13,66.98,35.83,
391,"Arrhenius",40.93,-55.58,-91.45,
398,"Artamonov",62.45,25.44,103.79,
399,"Artemis",2.28,25.03,-25.36,
402,"Artem'ev",66.39,10.4,-145.22,
405,"Artsimovich",7.96,27.61,-36.63,
411,"Aryabhata",21.89,6.2,35.17,
412,"Arzachel",96.99,-18.26,-1.93,
413,"Asada",12.37,7.25,49.9,
414,"Asclepi",40.56,-55.19,25.52,
422,"Ashbrook",157.68,-81.1,-110.58,
440,"Aston",44.48,32.77,-87.68,
458,"Atlas",88.12,46.74,44.38,
466,"Atwood",28.64,-5.88,57.78,
493,"Autolycus",38.88,30.68,1.49,
495,"Auwers",19.64,15,17.12,
497,"Auzout",32.92,10.21,64.01,
507,"Avery",10.73,-1.32,81.37,
509,"Avicenna",72.99,39.63,-97.28,
510,"Avogadro",129.84,63.21,165.36,
524,"Azophi",47.54,-22.19,12.7,
529,"Baade",57.85,-44.75,-82.03,
531,"Babakin",19.15,-20.81,123.26,
533,"Babbage",146.56,59.56,-57.38,
535,"Babcock",95.28,4.13,94.14,
536,"Baby Ray",0.17,-9.08,15.42,
541,"Back",34.63,1.2,80.67,
542,"Backlund",75.46,-16.22,103.35,
543,"Baco",65.31,-51.04,19.1,
560,"Baillaud",89.44,74.61,37.35,
561,"Bailly",300.56,-66.82,-68.9,
562,"Baily",25.68,49.78,30.56,
569,"Balandin",11.81,-18.94,152.58,
570,"Balboa",69.19,19.24,-83.31,
574,"Baldet",55.76,-53.32,-151.96,
579,"Ball",40.31,-35.92,-8.39,
580,"Balmer",136.3,-20.27,70.22,
592,"Banachiewicz",99.09,5.28,80.01,
594,"Bancroft",12.5,28.07,-6.43,
597,"Banting",5.15,26.58,16.43,
605,"Barbier",65.38,-23.85,157.93,
606,"Barkla",40.9,-10.67,67.22,
608,"Barnard",115.73,-29.79,85.95,
613,"Barocius",82.72,-44.98,16.81,
616,"Barringer",66.89,-28.22,-150.43,
617,"Barrow",93.82,71.28,7.59,
621,"Bartels",54.95,24.51,-89.85,
644,"Bawa",1.57,-25.28,102.56,
646,"Bayer",48.51,-51.62,-35.14,
651,"Beals",52.61,37.11,86.58,
652,"Bear Mountain",3.46,19.98,30.77,
653,"Beaumont",50.69,-18.08,28.82,
654,"Becquerel",62.86,40.79,129.5,
658,"Beer",9.06,27.07,-9.1,
662,"Behaim",56.21,-16.61,79.41,
664,"Beijerinck",76.77,-13.4,151.84,
666,"Beketov",8.3,16.23,29.18,
672,"Bell",86.33,21.98,-96.53,
674,"Bellinsgauzen (Bellingshausen)",63.23,-60.72,-164.85,
677,"Bellot",17.5,-12.48,48.19,
679,"Belopol'skiy",61.9,-17.25,-128.23,
682,"Belyaev",55.9,23.1,143.11,
684,"Bel'kovich",215.08,61.53,90.15,
686,"Bench",0.18,-3.02,-23.43,
689,"Benedict",13.83,4.35,141.54,
700,"Bergman",22.51,6.97,137.49,
701,"Bergstrand",42.98,-18.72,176.44,
702,"Berkner",87.62,25.13,-105.24,
703,"Berlage",93.75,-63.04,-163.61,
709,"Bernoulli",47.3,34.93,60.61,
710,"Berosus",75.24,33.5,69.99,
716,"Berzelius",48.53,36.55,50.95,
719,"Bessarion",9.84,14.85,-37.31,
720,"Bessel",15.56,21.73,17.92,
724,"Bettinus",71.78,-63.4,-45.16,
727,"Bečvář",66.62,-2.57,125.07,
728,"Bhabha",70.25,-55.5,-165.31,
734,"Bianchini",37.59,48.78,-34.37,
739,"Biela",77.03,-54.99,51.63,
745,"Bilharz",44.55,-5.83,56.34,
747,"Billy",45.57,-13.83,-50.24,
749,"Bingham",34.99,8.02,115.05,
750,"Biot",13.01,-22.7,51.08,
752,"Birkeland",81.64,-30.17,174.01,
753,"Birkhoff",329.81,58.45,-145.65,
754,"Birmingham",89.92,65.12,-10.7,
755,"Birt",15.81,-22.36,-8.59,
759,"Bjerknes",48.18,-38.5,113.69,
762,"Black",19.46,-9.2,80.39,
764,"Blackett",145.31,-37.55,-115.84,
765,"Blagg",4.97,1.22,1.46,
767,"Blancanus",105.82,-63.77,-21.63,
768,"Blanchard",37.46,-58.25,-93.5,
770,"Blanchinus",59.9,-25.32,2.44,
773,"Blazhko",51.11,31.37,-147.86,
776,"Bliss",22.85,53.04,-13.78,
779,"Block",0.01,-3.01,-23.42,
786,"Bobillier",6.04,19.63,15.44,
787,"Bobone",32.14,26.7,-132.12,
790,"Bode",17.8,6.71,-2.45,
793,"Boethius",11.17,5.57,72.33,
796,"Boguslawsky",94.59,-72.9,43.26,
797,"Bohnenberger",31.74,-16.24,40.06,
798,"Bohr",70.07,12.71,-86.52,
800,"Bok",43.03,-20.26,-171.58,
805,"Boltzmann",72.31,-74.82,-90.41,
806,"Bolyai",102.22,-33.85,126.12,
808,"Bombelli",9.72,5.28,56.19,
813,"Bondarenko",28.26,-17.24,136.89,
817,"Bonpland",59.25,-8.38,-17.33,
818,"Boole",61.34,63.79,-87.29,
820,"Borda",45.4,-25.2,46.52,
824,"Borel",4.66,22.37,26.42,
826,"Boris",1.73,30.53,-33.5,
827,"Borman",50.72,-39.06,-148.25,
828,"Born",15.07,-6.05,66.83,
831,"Boscovich",41.53,9.71,11.01,
832,"Bose",92.55,-53.95,-169.36,
836,"Boss",50.2,45.75,88.68,
