Feature_ID,Feature_Name,Diameter,Center_Latitude,Center_Longitude,
1696,"D'Arrest",2.1,-39,-179,
2328,"Hall",5.4,-80,150,
2992,"Kepler Dorsum",15,-45,4,
5167,"Roche",2.3,53,177,
5474,"Sharpless",1.8,-27.5,-154,
5707,"Stickney",9,1,-49,
6042,"Todd",2.6,-9,-153,
6518,"Wendell",1.7,-1,-132,
14257,"Clustril",3.4,60,-91,
14258,"Drunlo",4.2,36.5,-92,
14259,"Flimnap",1.5,60,10,
14260,"Grildrig",2.6,81,165,
14261,"Gulliver",5.5,62,-163,
14262,"Limtoc",2,-11,-54,
14263,"Reldresal",2.9,41,-39,
14264,"Skyresh",1.5,52.5,40,
14865,"Öpik",2,-7,63,
14866,"Shklovsky",2,24,112,
14867,"Lagado Planitia",4,19,129,
14868,"Laputa Regio",14,0,95,
