Feature_ID,Feature_Name,Diameter,Center_Latitude,Center_Longitude,
11,"Abe Mango Dorsa",800,47,-148,
15,"Abeona Mons",375,-44.8,-86.9,
17,"Abigail",18.4,-52.2,111.2,
18,"Abika",14.5,-52.5,104.4,
19,"Abington",21.7,-47.8,-82.3,
20,"Abra",7.2,6.2,97.4,
24,"Abundia Corona",250,18.5,125,
30,"Achall Corona",265,-31.2,-100.4,
32,"Achek Dorsa",1000,-37.2,-130,
41,"Acrea Corona",200,24.2,-116.3,
43,"Adaiah",18,-47.3,-106.6,
48,"Adamson",27.2,-14.8,29.6,
50,"Addams",87,-56.2,98.9,
51,"Aditi Dorsa",1200,-30,-171,
52,"Adivar",30.3,8.9,76.2,
57,"Adrasthea Tesserae",750,30,55,
61,"Adzoba",10,12.8,117,
62,"Aegina Farrum",60,35.5,20.9,
67,"Aeracura Corona",250,-19,-121.5,
70,"Aethelflaed",20,-18.2,-163.4,
73,"Afiba",9.5,-47.1,102.7,
74,"Afiruwa",5.2,4.3,3.8,
77,"Aftenia",7,49.95,-36,
78,"Afua",10,15.5,124,
85,"Aglaonice",63.7,-26.4,-20.1,
87,"Agnesi",42.4,-39.4,37.7,
89,"Agoe",6.3,13.1,4.3,
90,"Agraulos Corona",170,-27.7,165.8,
93,"Agrippina",38.6,-33.2,65.7,
97,"Ahava",10.4,53.6,-172.7,
100,"Ahsabkab Vallis",700,-24,79,
101,"Ahsonnutli Dorsa",1708,47.9,-163.5,
103,"Aibarchin Planitia",1200,-73,25,
105,"Aida-Wedo Dorsa",450,73,-146,
107,"Aife Fossae",280,67,131,
108,"Aigul",6,38.2,-79.6,
109,"Aikhylu Chasma",300,32,-68,
110,"Ailar",8.2,-15.8,68.4,
111,"Aimee",17,16.1,127.2,
112,"Aino Planitia",4985,-40.5,94.5,
116,"Aisha",10.6,39.3,53.3,
117,"Aita",14,8.9,-89.3,
118,"Aitchison Patera",28,-16.7,-10.6,
122,"Ajina Fossae",300,-45,-102,
125,"Ak-Ene Corona",150,9.4,-105.3,
126,"Akeley",23.4,8,-115.5,
127,"Akewa Dorsa",900,45.5,-176,
128,"Akhmatova",41.4,61.3,-52.1,
130,"Akhtamar Planitia",2700,27,65,
132,"Akiko",17.4,30.6,-172.7,
135,"Akkruva Colles",1059,46.1,115.5,
136,"Akna Montes",830,68.9,-41.8,
137,"Akosua",6.2,-58.6,18.1,
138,"Aksentyeva",42.5,-42,-88.1,
140,"Akuanda Dorsa",800,63.5,-128,
141,"Akuba",5.5,9.6,23,
152,"Al-Taymuriyya",19,32.9,-23.9,
153,"Al-Uzza Undae",150,67.7,90.5,
155,"Alajen Vallis",200,-3.3,-22.9,
161,"Albasty Fossae",500,-9,-23.5,
167,"Albys Vallis",240,-39.5,30.5,
168,"Alcott",66,-59.5,-5.6,
169,"Alcyone Tholus",70,-2.1,-103.6,
173,"Ale Tholus",87,68.2,-113,
175,"Aleksota Mons",250,-9,-51.5,
186,"Alima",10.3,-46,-130.8,
187,"Alimat",13.5,-29.5,-154.1,
188,"Alison",14.4,-4,165.6,
190,"Alkonost Dorsa",730,-5,-19,
191,"Allat Dorsa",750,60,70,
192,"Allatu Corona",125,15.5,114,
194,"Alma",16.8,-2.4,-131.2,
195,"Alma-Merghen Planitia",1500,-76,100,
